,R1,R1_,R2,R2_,G1,G1_,G2,G2_,B1,B1_,B2,B2_,C1,C1_,C2,C2_,timestamp
61,5742,5674,6282,5961,4637,4623,5329,5010,6378,6304,7147,6655,15629.0,15557.0,17361.0,16323.0,2018-10-22 14:57:46
62,5716,5674,6304,5961,4649,4623,5338,5010,6382,6304,7151,6655,15589.0,15557.0,17396.0,16323.0,2018-10-22 14:59:45
63,5694,5674,6323,5961,4639,4623,5347,5010,6380,6304,7154,6655,15554.0,15557.0,17426.0,16323.0,2018-10-22 15:01:45
64,5704,5674,6289,5961,4644,4623,5333,5010,6383,6304,7151,6655,15572.0,15557.0,17377.0,16323.0,2018-10-22 15:03:46
65,5729,5674,6306,5961,4654,4623,5340,5010,6385,6304,7153,6655,15610.0,15557.0,17402.0,16323.0,2018-10-22 15:05:46
66,5703,5674,6326,5961,4644,4623,5349,5010,6384,6304,7156,6655,15571.0,15557.0,17433.0,16323.0,2018-10-22 15:07:46
67,5715,5674,6292,5961,4649,4623,5335,5010,6386,6304,7153,6655,15589.0,15557.0,17383.0,16323.0,2018-10-22 15:09:46
68,5693,5674,6310,5961,4640,4623,5343,5010,6383,6304,7156,6655,15640.0,15557.0,17413.0,16323.0,2018-10-22 15:11:46
69,5715,5674,6330,5961,4649,4623,5352,5010,6386,6304,7159,6655,15592.0,15557.0,17442.0,16323.0,2018-10-22 15:13:46
70,5728,5674,6295,5961,4655,4623,5337,5010,6387,6304,7154,6655,15611.0,15557.0,17390.0,16323.0,2018-10-22 15:15:47
71,5702,5674,6314,5961,4644,4623,5345,5010,6384,6304,7158,6655,15570.0,15557.0,17420.0,16323.0,2018-10-22 15:17:47
72,5728,5674,6335,5961,4655,4623,5333,5010,6387,6304,7155,6655,15612.0,15557.0,17454.0,16323.0,2018-10-22 15:19:47
73,5696,5674,6305,5961,4642,4623,5342,5010,6383,6304,7158,6655,15562.0,15557.0,17408.0,16323.0,2018-10-22 15:21:47
74,5719,5674,6325,5961,4652,4623,5351,5010,6386,6304,7162,6655,15599.0,15557.0,17441.0,16323.0,2018-10-22 15:23:47
75,5696,5674,6292,5961,4641,4623,5337,5010,6383,6304,7157,6655,15560.0,15557.0,17390.0,16323.0,2018-10-22 15:25:47
76,5705,5674,6307,5961,4645,4623,5344,5010,6383,6304,7160,6655,15575.0,15557.0,17416.0,16323.0,2018-10-22 15:27:48
77,5730,5674,6325,5961,4656,4623,5352,5010,6387,6304,7162,6655,15615.0,15557.0,17443.0,16323.0,2018-10-22 15:29:48
78,5705,5674,6294,5961,4645,4623,5339,5010,6384,6304,7159,6655,15575.0,15557.0,17396.0,16323.0,2018-10-22 15:31:47
79,5715,5674,6310,5961,4649,4623,5345,5010,6384,6304,7162,6655,15590.0,15557.0,17420.0,16323.0,2018-10-22 15:33:48
80,5746,5674,6330,5961,4662,4623,5355,5010,6381,6304,7166,6655,15638.0,15557.0,17453.0,16323.0,2018-10-22 15:35:48
81,5715,5674,6296,5961,4649,4623,5340,5010,6383,6304,7160,6655,15590.0,15557.0,17400.0,16323.0,2018-10-22 15:37:48
82,5727,5674,6311,5961,4655,4623,5347,5010,6385,6304,7164,6655,15611.0,15557.0,17425.0,16323.0,2018-10-22 15:39:48
83,5702,5674,6329,5961,4643,4623,5354,5010,6381,6304,7165,6655,15569.0,15557.0,17453.0,16323.0,2018-10-22 15:41:48
84,5728,5674,6298,5961,4655,4623,5342,5010,6385,6304,7162,6655,15611.0,15557.0,17407.0,16323.0,2018-10-22 15:43:48
85,5704,5674,6315,5961,4645,4623,5349,5010,6381,6304,7166,6655,15573.0,15557.0,17435.0,16323.0,2018-10-22 15:45:49
86,5716,5674,6334,5961,4649,4623,5357,5010,6382,6304,7167,6655,15591.0,15557.0,17463.0,16323.0,2018-10-22 15:47:49
87,5747,5674,6301,5961,4662,4623,5343,5010,6379,6304,7163,6655,15639.0,15557.0,17413.0,16323.0,2018-10-22 15:49:50
88,5716,5674,6318,5961,4649,4623,5351,5010,6382,6304,7166,6655,15590.0,15557.0,17441.0,16323.0,2018-10-22 15:51:49
89,5729,5674,6338,5961,4655,4623,5359,5010,6384,6304,7168,6655,15612.0,15557.0,17472.0,16323.0,2018-10-22 15:53:49
90,5704,5674,6305,5961,4644,4623,5346,5010,6381,6304,7166,6655,15572.0,15557.0,17424.0,16323.0,2018-10-22 15:55:52
91,5729,5674,6320,5961,4655,4623,5352,5010,6384,6304,7167,6655,15611.0,15557.0,17446.0,16323.0,2018-10-22 15:57:49
92,5743,5674,6339,5961,4660,4623,5359,5010,6384,6304,7167,6655,15632.0,15557.0,17473.0,16323.0,2018-10-22 15:59:49
93,5713,5674,6305,5961,4648,4623,5346,5010,6381,6304,7164,6655,15587.0,15557.0,17423.0,16323.0,2018-10-22 16:01:50
