R1,R1_,R2,R2_,G1,G1_,G2,G2_,B1,B1_,B2,B2_,C1,C1_,C2,C2_,timestamp
6547,6480,10132,10004,5157,5054,7525,7344,7161,6916,9154,8878,17943,17456,27658,26918,2018-10-22 14:25:17
6509,6480,10127,10004,5140,5054,7524,7344,7152,6916,9196,8878,17878,17456,27652,26918,2018-10-22 14:27:18
6538,6480,10122,10004,5153,5054,7521,7344,7160,6916,9196,8878,17930,17456,27642,26918,2018-10-22 14:29:18
6567,6480,10130,10004,5167,5054,7526,7344,7168,6916,9200,8878,17981,17456,27661,26918,2018-10-22 14:35:35
6519,6480,10117,10004,5144,5054,7519,7344,7155,6916,9196,8878,17896,17456,27637,26918,2018-10-22 14:35:35
6531,6480,10136,10004,5150,5054,7529,7344,7158,6916,9158,8878,17916,17456,27674,26918,2018-10-22 14:35:35
6503,6480,10105,10004,5137,5054,7514,7344,7150,6916,9194,8878,17870,17456,27614,26918,2018-10-22 14:37:18
6537,6480,10112,10004,5153,5054,7517,7344,7160,6916,9196,8878,17929,17456,27629,26918,2018-10-22 14:39:18
6500,6480,10102,10004,5136,5054,7513,7344,7150,6916,9194,8878,17994,17456,27611,26918,2018-10-22 14:41:18
6551,6480,10091,10004,5160,5054,7507,7344,7165,6916,9190,8878,17953,17456,27588,26918,2018-10-22 14:43:19
6510,6480,10086,10004,5140,5054,7506,7344,7153,6916,9189,8878,17882,17456,27582,26918,2018-10-22 14:45:19
6540,6480,10083,10004,5155,5054,7504,7344,7163,6916,9189,8878,17937,17456,27576,26918,2018-10-22 14:47:19
6524,6480,10082,10004,5148,5054,7504,7344,7159,6916,9190,8878,17909,17456,27575,26918,2018-10-22 14:49:19
6562,6480,10080,10004,5165,5054,7502,7344,7169,6916,9189,8878,17973,17456,27570,26918,2018-10-22 14:51:19
6519,6480,10080,10004,5145,5054,7503,7344,7157,6916,9190,8878,17900,17456,27571,26918,2018-10-22 14:53:19
6553,6480,10075,10004,5161,5054,7501,7344,7166,6916,9188,8878,17956,17456,27565,26918,2018-10-22 14:55:19
